#{"t_start": 1686314906.9375455, "env_id": "SpaceInvadersNoFrameskip-v4"}
r,l,t
270.0,2807,1924.599578
520.0,3537,1927.883644
520.0,4175,1931.963893
375.0,2635,1934.602704
470.0,3557,1938.194626
250.0,2821,1940.778879
315.0,2567,1943.169576
395.0,2903,1945.900675
290.0,2273,1947.976771
545.0,4295,1951.957699
540.0,3952,1955.778583
395.0,3063,1958.823333
520.0,3841,1962.365541
420.0,3385,1965.714075
415.0,3813,1969.319076
510.0,4171,1973.289289
385.0,3001,1976.240348
230.0,2441,1978.611749
290.0,2667,1981.525398
410.0,3169,1984.743449
445.0,3561,1988.278893
520.0,3925,1992.093853
570.0,3765,1995.771228
740.0,4162,1999.78421
570.0,3811,2003.530756
310.0,2476,2013.728728
430.0,3803,2017.263649
240.0,2371,2019.477533
310.0,2247,2021.573851
225.0,2391,2023.796636
470.0,5017,2028.574854
375.0,3107,2031.468989
495.0,3737,2034.92003
550.0,3401,2038.125411
430.0,3393,2041.314312
800.0,4503,2045.567854
390.0,2935,2048.4968
470.0,4117,2052.350623
330.0,2455,2054.661408
550.0,4211,2058.646895
510.0,4183,2062.819101
350.0,3095,2065.894192
195.0,2241,2068.1453
430.0,3861,2072.222468
480.0,4585,2077.311212
565.0,3825,2081.160436
895.0,5879,2086.937846
225.0,2563,2089.451958
515.0,3041,2092.409035
400.0,3183,2095.498182
450.0,3249,2098.723445
525.0,3723,2102.812247
360.0,3257,2106.370622
150.0,1519,2107.84345
290.0,2423,2110.200626
605.0,3441,2119.451298
250.0,3227,2122.692756
415.0,3649,2126.27408
305.0,2311,2128.735792
455.0,3895,2132.626264
580.0,4240,2136.747344
315.0,2629,2139.323502
495.0,4189,2143.415273
465.0,3195,2146.547261
745.0,3923,2150.367186
65.0,1087,2151.521706
480.0,3397,2154.862971
180.0,1999,2156.85347
470.0,3591,2160.402158
570.0,4037,2164.321092
495.0,4127,2168.325135
515.0,3965,2172.147276
485.0,3541,2175.621402
530.0,3296,2179.277757
225.0,2085,2181.347298
660.0,3251,2184.340658
470.0,4371,2188.329561
400.0,2765,2190.891388
470.0,3831,2194.442649
675.0,3543,2197.737336
665.0,3271,2200.733642
380.0,3153,2203.782091
605.0,3401,2206.932695
575.0,4365,2210.96307
290.0,2327,2213.11611
360.0,2537,2215.492013
655.0,3097,2230.672887
380.0,2617,2233.285539
485.0,3523,2236.468268
600.0,4033,2240.143077
440.0,2999,2242.888237
520.0,4537,2246.98547
480.0,3335,2250.20778
520.0,3858,2254.424217
795.0,4290,2259.214945
575.0,4036,2263.632206
630.0,3843,2267.832054
515.0,4779,2272.505401
845.0,5147,2277.500665
540.0,4123,2281.367871
555.0,4161,2285.151994
800.0,4137,2289.020306
545.0,4639,2293.277926
570.0,4571,2297.468375
295.0,2261,2299.627464
515.0,3803,2303.135522
310.0,3488,2306.389441
460.0,4671,2310.675022
445.0,3167,2313.670498
410.0,3349,2317.006401
315.0,2591,2319.571771
240.0,2087,2321.634223
545.0,4359,2333.394565
285.0,2429,2335.969727
710.0,3973,2340.101841
215.0,2377,2342.353085
365.0,2677,2344.797024
460.0,3655,2348.163067
715.0,5343,2353.074564
610.0,3539,2356.287396
405.0,3502,2359.647806
480.0,2147,2361.625871
340.0,2612,2364.032782
700.0,4999,2368.740218
605.0,4417,2372.890181
605.0,3541,2376.427526
305.0,2533,2378.83779
695.0,3333,2381.947719
500.0,4125,2385.950568
390.0,4041,2389.725507
770.0,4590,2394.294344
470.0,3807,2398.112516
340.0,3129,2401.255193
345.0,2929,2404.368646
600.0,4405,2409.338527
465.0,3169,2412.258816
800.0,4107,2416.159484
485.0,3945,2419.962014
1285.0,7807,2427.119115
410.0,2887,2429.771031
385.0,2761,2439.883045
575.0,3180,2442.727451
775.0,4355,2446.631024
310.0,2759,2449.15033
390.0,2867,2451.897883
355.0,2938,2454.755768
445.0,3521,2458.14897
485.0,3429,2461.838747
475.0,3343,2465.035752
415.0,3935,2468.802913
515.0,4463,2473.070743
330.0,2499,2475.458394
150.0,2127,2477.514891
550.0,4185,2481.473913
410.0,3189,2484.540788
475.0,3009,2487.656242
525.0,3353,2490.869032
680.0,4589,2495.223685
390.0,2615,2497.737738
340.0,2459,2500.108633
440.0,4053,2503.9865
800.0,3893,2507.745698
605.0,3483,2511.304826
360.0,2479,2513.683394
700.0,3983,2517.496625
380.0,2849,2520.222835
470.0,3493,2523.544265
485.0,4107,2527.452946
270.0,2957,2530.287592
245.0,2397,2532.829463
755.0,4113,2547.408183
350.0,4123,2551.309554
455.0,3361,2554.633708
885.0,4981,2559.324901
590.0,3003,2562.230274
720.0,4139,2566.212859
220.0,1973,2568.103374
240.0,2431,2570.418995
525.0,4047,2574.294789
360.0,2900,2577.227696
180.0,1719,2578.924699
325.0,3195,2582.028725
450.0,3559,2585.434384
370.0,2959,2588.260254
690.0,3701,2591.67192
740.0,3465,2594.812567
510.0,3951,2598.677367
525.0,3719,2602.189118
600.0,3907,2605.865899
245.0,3117,2608.848346
555.0,2925,2611.619146
425.0,2347,2613.852676
315.0,2816,2616.513984
645.0,3347,2619.67214
295.0,2389,2622.071683
685.0,4911,2626.737578
745.0,4037,2630.552302
465.0,3039,2633.413135
745.0,3702,2636.900453
940.0,3902,2640.571037
970.0,4023,2653.826811
535.0,3993,2657.620847
600.0,3969,2661.388293
485.0,3439,2664.607601
520.0,3825,2668.230501
565.0,2575,2670.66994
525.0,3646,2674.277692
580.0,3527,2677.547772
515.0,3852,2680.989641
330.0,2999,2683.681647
250.0,1865,2685.343846
255.0,2147,2687.263428
320.0,2709,2689.685414
630.0,4099,2693.425202
495.0,3839,2696.876849
585.0,3993,2700.393854
